"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","客户","7","0","分页","0"
"0","","0","认证","4","0","非法请求体","0"
"0","","0","客户","5","0","创建","0"
"0","","0","客户","1","0","列表","0"
"0","","0","认证","2","0","受保护资源","0"
"0","","0","余额","4","0","业务规则","0"
"0","","0","客户","2","0","详情","0"
"0","","0","契约（JSON Schema）","4","0","","0"
"0","","0","客户","3","0","筛选","0"
"0","","0","认证","3","0","无效凭据","0"
"0","","0","服务","1","0","健康检查","0"
"0","","0","认证","1","0","有效 token","0"
"0","","0","余额","2","0","查询","0"
