"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","创建无效客户返回 422","tests","2026-09-16","passed","2026-09-16","TestCreateCustomer","test_customers","",""
"","3","token 响应符合契约","tests","2026-09-16","passed","2026-09-16","TestContracts","test_contracts","",""
"","2","请求体缺失或非法返回 422","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","分页遵循 limit 和 offset","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","2","使用无效 token 访问返回 401","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","余额份额占比合计为 100%","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","3","错误的凭据返回 401","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","创建有效客户返回 201 及创建的资源","tests","2026-09-16","passed","2026-09-16","TestCreateCustomer","test_customers","",""
"","3","按 segment 筛选只返回该 segment","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","2","创建无效客户返回 422","tests","2026-09-16","passed","2026-09-16","TestCreateCustomer","test_customers","",""
"","3","获取已有客户的余额","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","3","获取不存在的客户返回 404","tests","2026-09-16","passed","2026-09-16","TestGetCustomer","test_customers","",""
"","3","正确凭据返回 Bearer token","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","分页参数越界返回 422","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","请求体缺失或非法返回 422","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","余额份额占比合计为 100%","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","3","分页参数越界返回 422","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","按 segment 筛选只返回该 segment","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","错误的凭据返回 401","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","余额份额占比合计为 100%","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","3","获取存在的客户返回其数据","tests","2026-09-16","passed","2026-09-16","TestGetCustomer","test_customers","",""
"","2","创建无效客户返回 422","tests","2026-09-16","passed","2026-09-16","TestCreateCustomer","test_customers","",""
"","3","获取不存在客户的余额返回 404","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","3","客户详情响应符合契约","tests","2026-09-16","passed","2026-09-16","TestContracts","test_contracts","",""
"","3","GET /health 返回 200 且状态为 ok","tests","2026-09-16","passed","2026-09-16","","test_health","",""
"","3","请求体缺失或非法返回 422","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","默认列表返回第一页","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","按 segment 筛选只返回该 segment","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","创建无效客户返回 422","tests","2026-09-16","passed","2026-09-16","TestCreateCustomer","test_customers","",""
"","3","余额份额占比合计为 100%","tests","2026-09-16","passed","2026-09-16","TestBalances","test_balances","",""
"","2","无 token 访问受保护资源返回 401","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","余额响应符合契约","tests","2026-09-16","passed","2026-09-16","TestContracts","test_contracts","",""
"","3","请求体缺失或非法返回 422","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
"","3","分页遵循 limit 和 offset","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","分页参数越界返回 422","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","分页遵循 limit 和 offset","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","3","分页遵循 limit 和 offset","tests","2026-09-16","passed","2026-09-16","TestListCustomers","test_customers","",""
"","4","客户列表响应符合契约","tests","2026-09-16","passed","2026-09-16","TestContracts","test_contracts","",""
"","3","错误的凭据返回 401","tests","2026-09-16","passed","2026-09-16","TestAuthentication","test_auth","",""
